,SRR_id,tissue_name,STAR_mapping_rate [%],SRR_filesize_bytes,fastq_filesize_bytes,bam_filesize_bytes,index_release,n_spots,nproc,instance_type,library_layout,instance_id,execution_mode,s3_path,prefetch_start_time,prefetch_end_time,fasterq_dump_start_time,fasterq_dump_end_time,star_start_time,star_end_time,deseq2_star_start_time,deseq2_star_end_time
0,SRR13870534,adipose_tissue,91.54,314758873,2045699632,515200313,111,3755101,8,r7i.2xlarge,paired,i-0896ec7f939aa0c1e,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR13870534_STAR_normalized_counts.tsv,2024-03-03T14:55:28,2024-03-03T14:55:36,2024-03-03T14:55:36,2024-03-03T14:55:40,2024-03-03T14:55:40,2024-03-03T14:56:18,2024-03-03T14:56:18,2024-03-03T14:56:34
1,SRR6742594,adipose_tissue,87.35,3416278879,20709104648,5846941658,111,46310790,8,r7i.2xlarge,paired,i-0fc8514b56478b008,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR6742594_STAR_normalized_counts.tsv,2024-03-03T14:55:01,2024-03-03T14:56:13,2024-03-03T14:56:13,2024-03-03T14:57:19,2024-03-03T14:57:19,2024-03-03T15:04:10,2024-03-03T15:04:10,2024-03-03T15:04:26
2,SRR16775393,breast_cells,92,2462241928,26699242512,3307930161,111,38322275,8,r7i.2xlarge,paired,i-0e6d2f90286f85595,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/breast_cells/normalized_counts/SRR16775393_STAR_normalized_counts.tsv,2024-03-03T14:55:28,2024-03-03T14:56:27,2024-03-03T14:56:27,2024-03-03T14:57:53,2024-03-03T14:57:53,2024-03-03T15:05:12,2024-03-03T15:05:12,2024-03-03T15:05:27
3,SRR20740669,breast_cells,89.36,976305944,6605376766,1276765654,111,23251123,8,r7i.2xlarge,single,i-0ea53dacf65be9a59,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/breast_cells/normalized_counts/SRR20740669_STAR_normalized_counts.tsv,2024-03-03T14:55:01,2024-03-03T14:55:26,2024-03-03T14:55:26,2024-03-03T14:55:42,2024-03-03T14:55:42,2024-03-03T14:57:42,2024-03-03T14:57:42,2024-03-03T14:57:55
4,SRR2973332,breast_cells,85.46,528883438,2263926608,699597482,111,4058599,8,r7i.2xlarge,paired,i-0ea53dacf65be9a59,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/breast_cells/normalized_counts/SRR2973332_STAR_normalized_counts.tsv,2024-03-03T14:57:56,2024-03-03T14:58:07,2024-03-03T14:58:07,2024-03-03T14:58:10,2024-03-03T14:58:10,2024-03-03T14:59:13,2024-03-03T14:59:13,2024-03-03T14:59:18
5,SRR3290912,breast_cells,85.31,1850689124,12395401176,3759949359,111,34297500,8,r7i.2xlarge,paired,i-058db1f82fa4f2ce7,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/breast_cells/normalized_counts/SRR3290912_STAR_normalized_counts.tsv,2024-03-03T14:55:01,2024-03-03T14:55:42,2024-03-03T14:55:42,2024-03-03T14:56:18,2024-03-03T14:56:18,2024-03-03T14:59:32,2024-03-03T14:59:32,2024-03-03T14:59:46
6,SRR5735068,breast_cells,84.66,1586324337,16260955208,3875212619,111,44428924,8,r7i.2xlarge,paired,i-0c30146ff8b692a78,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/breast_cells/normalized_counts/SRR5735068_STAR_normalized_counts.tsv,2024-03-03T14:55:28,2024-03-03T14:56:01,2024-03-03T14:56:01,2024-03-03T14:56:52,2024-03-03T14:56:52,2024-03-03T15:03:08,2024-03-03T15:03:08,2024-03-03T15:03:25
7,SRR12540641,breast_cells,75.94,3976002212,25726980588,6203818342,111,36713549,8,r7i.2xlarge,paired,i-00299ec84e7ef94fb,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/breast_cells/normalized_counts/SRR12540641_STAR_normalized_counts.tsv,2024-03-03T14:55:01,2024-03-03T14:56:25,2024-03-03T14:56:25,2024-03-03T14:57:50,2024-03-03T14:57:50,2024-03-03T15:07:47,2024-03-03T15:07:47,2024-03-03T15:08:03
8,SRR17222363,endometrium,92.98,2250330025,18646719732,2490790140,111,24268923,8,r7i.2xlarge,paired,i-0896ec7f939aa0c1e,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/endometrium/normalized_counts/SRR17222363_STAR_normalized_counts.tsv,2024-03-03T14:56:35,2024-03-03T14:57:25,2024-03-03T14:57:25,2024-03-03T14:58:23,2024-03-03T14:58:23,2024-03-03T15:07:55,2024-03-03T15:07:55,2024-03-03T15:08:02
9,SRR16212318,endometrium,90.55,4753222096,45656261284,5869736054,111,51127409,8,r7i.2xlarge,paired,i-0b1bfbf7bba1eef1d,EC2,s3://neardata-star-ec2-other/STAR/high_mapping_rate/endometrium/normalized_counts/SRR16212318_STAR_normalized_counts.tsv,2024-03-03T14:55:01,2024-03-03T14:56:47,2024-03-03T14:56:47,2024-03-03T15:00:35,2024-03-03T15:00:35,2024-03-03T15:15:21,2024-03-03T15:15:21,2024-03-03T15:15:38
