,SRR_id,tissue_name,STAR_mapping_rate [%],SRR_filesize_bytes,fastq_filesize_bytes,bam_filesize_bytes,index_release,n_spots,nproc,instance_type,library_layout,instance_id,execution_mode,s3_path,prefetch_start_time,prefetch_end_time,fasterq_dump_start_time,fasterq_dump_end_time,star_start_time,star_end_time,deseq2_star_start_time,deseq2_star_end_time
0,SRR15887084,adipose_tissue,93.93,4227894919,33404151936,4770421969,111,43161135,8,r6a.2xlarge,paired,i-0663a7df86d69d675,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR15887084_STAR_normalized_counts.tsv,2024-03-02T22:28:17,2024-03-02T22:30:11,2024-03-02T22:30:11,2024-03-02T22:32:42,2024-03-02T22:32:42,2024-03-02T22:53:39,2024-03-02T22:53:39,2024-03-02T22:53:45
1,SRR17857301,adipose_tissue,92.24,1716058873,16246176762,1882063519,111,19019197,8,r6a.2xlarge,paired,i-0663a7df86d69d675,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR17857301_STAR_normalized_counts.tsv,2024-03-02T22:00:07,2024-03-02T22:00:52,2024-03-02T22:00:52,2024-03-02T22:01:41,2024-03-02T22:01:41,2024-03-02T22:07:59,2024-03-02T22:07:59,2024-03-02T22:08:06
2,SRR13111094,adipose_tissue,92.01,6418348308,29009209916,7336181320,111,47015886,8,r6a.2xlarge,paired,i-0bd5f296979f3db56,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR13111094_STAR_normalized_counts.tsv,2024-03-02T22:44:57,2024-03-02T22:47:32,2024-03-02T22:47:32,2024-03-02T22:49:39,2024-03-02T22:49:39,2024-03-02T22:57:36,2024-03-02T22:57:36,2024-03-02T22:57:43
3,SRR12782299,adipose_tissue,91.77,1751554414,14972035244,1891019935,111,19508969,8,r6a.2xlarge,paired,i-0e771c9bbe7edfe05,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR12782299_STAR_normalized_counts.tsv,2024-03-02T22:29:20,2024-03-02T22:30:02,2024-03-02T22:30:02,2024-03-02T22:30:47,2024-03-02T22:30:47,2024-03-02T22:39:42,2024-03-02T22:39:42,2024-03-02T22:39:49
4,SRR13870534,adipose_tissue,91.54,314758873,2045699632,515207666,111,3755101,8,r6a.2xlarge,paired,i-0301c7d25de205cad,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR13870534_STAR_normalized_counts.tsv,2024-03-02T21:40:41,2024-03-02T21:40:49,2024-03-02T21:40:49,2024-03-02T21:40:53,2024-03-02T21:40:53,2024-03-02T21:41:29,2024-03-02T21:41:29,2024-03-02T21:41:35
5,SRR13870529,adipose_tissue,90.23,853659826,5701568904,1344241872,111,10447476,8,r6a.2xlarge,paired,i-0dfd4a8348980b044,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR13870529_STAR_normalized_counts.tsv,2024-03-02T20:58:55,2024-03-02T20:59:13,2024-03-02T20:59:13,2024-03-02T20:59:26,2024-03-02T20:59:26,2024-03-02T21:01:02,2024-03-02T21:01:02,2024-03-02T21:01:09
6,SRR5310399,adipose_tissue,89.9,3424229960,17133361404,4354625769,111,26107150,8,r6a.2xlarge,paired,i-0e771c9bbe7edfe05,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR5310399_STAR_normalized_counts.tsv,2024-03-02T23:52:08,2024-03-02T23:53:33,2024-03-02T23:53:33,2024-03-02T23:54:26,2024-03-02T23:54:26,2024-03-03T00:00:00,2024-03-03T00:00:00,2024-03-03T00:00:05
7,SRR23949944,adipose_tissue,89.73,2792078589,27232431292,3439741614,111,30515637,8,r6a.2xlarge,paired,i-0cab4e68ecc8bbdf5,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR23949944_STAR_normalized_counts.tsv,2024-03-02T23:04:33,2024-03-02T23:05:55,2024-03-02T23:05:55,2024-03-02T23:07:26,2024-03-02T23:07:26,2024-03-02T23:20:36,2024-03-02T23:20:36,2024-03-02T23:20:43
8,SRR5310621,adipose_tissue,89.2,2195597010,12328867956,2850221603,111,18691691,8,r6a.2xlarge,paired,i-0ef44a3e24caafaa9,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR5310621_STAR_normalized_counts.tsv,2024-03-02T23:06:01,2024-03-02T23:06:57,2024-03-02T23:06:57,2024-03-02T23:07:32,2024-03-02T23:07:32,2024-03-02T23:11:40,2024-03-02T23:11:40,2024-03-02T23:11:46
9,SRR11605288,adipose_tissue,88.44,720071931,5498203284,1449193533,111,11938231,8,r6a.2xlarge,paired,i-07756c6eac2dbe0b4,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR11605288_STAR_normalized_counts.tsv,2024-03-02T23:06:38,2024-03-02T23:06:57,2024-03-02T23:06:57,2024-03-02T23:07:09,2024-03-02T23:07:09,2024-03-02T23:09:03,2024-03-02T23:09:03,2024-03-02T23:09:09
