,Run
0,SRR5023622
1,SRR11107271
2,SRR20740650
3,SRR7666406
4,SRR1648611
5,SRR13873716
6,SRR3129310
7,SRR11867234
8,SRR3544527
9,SRR13036236
10,SRR19631550
11,SRR9026381
12,SRR14915861
13,SRR13873717
14,SRR18191890
15,SRR25776869
16,SRR8320490
17,SRR8320908
18,SRR12730654
19,SRR7010573
20,SRR8319518
21,SRR5287024
22,SRR7008462
23,SRR7666796
24,SRR7008875
25,SRR4454252
26,SRR7666386
27,SRR5023422
28,SRR24216581
29,SRR8320759
30,SRR3089085
31,SRR24717542
32,SRR1557109
33,SRR8320218
34,SRR8866835
35,SRR15509170
36,SRR1821449
37,SRR15015579
38,SRR7667329
39,SRR1821420
40,SRR2976301
41,SRR5282603
42,SRR5445411
43,SRR12004450
44,SRR3500419
45,SRR17055454
46,SRR7667318
47,ERR4172133
48,SRR7455540
49,SRR10986970
50,SRR16694241
51,SRR8320459
52,SRR10126645
53,SRR1659930
54,SRR11714195
55,SRR2167689
56,SRR2654037
57,ERR4058368
58,SRR14141098
59,SRR19614641
60,SRR5023568
61,SRR3129447
62,SRR11071249
63,SRR11867230
64,SRR8445103
65,SRR12360060
66,SRR8780834
67,SRR13081962
68,SRR12360062
69,SRR11452405
70,SRR17263763
71,SRR15015587
72,ERR4804110
73,SRR13737351
74,SRR10331001
75,SRR3353302
76,SRR11071252
77,SRR23153262
78,SRR12815979
79,SRR1821691
80,SRR12319779
81,SRR6300338
82,SRR23143818
83,ERR1815301
84,SRR5203811
85,SRR25074756
86,SRR8312129
87,SRR10096938
88,SRR3392371
89,ERR9912231
90,SRR3500446
91,ERR4970182
92,SRR3129546
93,SRR8320503
94,SRR8319669
95,SRR16701882
96,SRR23574200
97,SRR5203716
98,SRR11509701
99,SRR7008623
100,SRR13036339
101,SRR5631530
102,ERR3375363
103,SRR3129678
104,SRR8443499
105,SRR16702234
106,SRR1573931
107,SRR8320903
108,SRR9917470
109,SRR7666941
110,SRR10869333
111,SRR9609740
112,SRR8780913
113,SRR12060823
114,SRR3090971
115,SRR868867
116,SRR6914746
117,SRR8707506
118,SRR14346761
119,SRR7641239
120,SRR7010578
121,SRR1193570
122,SRR3353360
123,ERR4172104
124,SRR12319955
125,SRR12319613
126,SRR12004418
127,SRR2105574
128,SRR19641514
129,SRR12319570
130,SRR11452424
131,SRR3129689
132,SRR6822826
133,SRR5645305
134,SRR9659967
135,SRR17412691
136,SRR3605492
137,SRR10315132
138,SRR7667702
139,SRR8319962
140,SRR9180342
141,SRR2061443
142,SRR8320445
143,ERR2631360
144,ERR9829674
145,SRR15600609
146,SRR12319843
147,SRR5227985
148,SRR6174886
149,SRR15571214
150,SRR12319614
151,ERR4058405
152,SRR2973326
153,SRR8997316
154,SRR8319480
155,SRR6253254
156,SRR7509728
157,SRR12319746
158,SRR8775137
159,SRR4369225
160,SRR9209784
161,ERR4172097
162,SRR11999325
163,SRR5896104
164,SRR5633594
165,SRR14777622
166,SRR7667439
167,SRR7666673
168,SRR6392035
169,SRR8319267
170,SRR5364066
171,SRR7666377
172,SRR8320227
173,SRR8200787
174,SRR9917434
175,SRR8699631
176,ERR4058353
177,SRR12319616
178,SRR17923037
179,SRR3353316
180,SRR5121432
181,SRR1274253
182,SRR8319380
183,SRR8699104
184,ERR2618229
185,SRR8699679
186,SRR7952824
187,SRR15600615
188,SRR12319751
189,SRR11509678
190,SRR23321148
191,SRR16702441
192,SRR12319817
193,SRR3500432
194,SRR11682407
195,SRR11139457
196,SRR7666949
197,SRR12319785
198,SRR9000526
199,SRR2352150
200,SRR2973472
201,SRR13258639
202,SRR15904802
203,SRR2084359
204,SRR8320712
205,SRR7666615
206,SRR6253251
207,SRR5286977
208,SRR1313126
209,SRR3392357
210,SRR17412735
211,SRR14633282
212,SRR14346745
213,SRR7192065
214,ERR4804090
215,SRR11452399
216,SRR6829695
217,SRR7008772
218,SRR15263895
219,SRR7010781
220,SRR15571254
221,SRR12730631
222,SRR9917435
223,SRR2001205
224,SRR18923340
225,SRR14777613
226,SRR7667011
227,SRR5203571
228,SRR11112582
229,SRR8699637
230,SRR1821533
231,SRR6741505
232,SRR13443416
233,SRR7721744
234,SRR7289810
235,SRR2973486
236,SRR10916800
237,SRR5227988
238,SRR5023654
239,SRR5130710
240,SRR6163852
241,ERR4436800
242,SRR8590788
243,SRR4318444
244,SRR6347630
245,SRR7192092
246,SRR8320164
247,SRR18331768
248,SRR4106441
249,SRR8319255
250,SRR17923057
251,SRR14870096
252,SRR8320653
253,SRR9659994
254,SRR18332858
255,SRR7997167
256,SRR15998037
257,SRR1274234
258,SRR22809584
259,SRR15096127
260,SRR13036200
261,SRR8272822
262,SRR7666899
263,SRR9917426
264,SRR22561434
265,SRR4734807
266,SRR10425936
267,SRR7961903
268,SRR7537064
269,SRR2973484
270,SRR8272867
271,SRR9834166
272,SRR10025821
273,SRR10098960
274,SRR10098261
275,SRR12228612
276,SRR14333350
277,SRR2001093
278,SRR3544532
279,SRR3955801
280,SRR1313157
281,SRR17933323
282,SRR2976307
283,SRR16597045
284,SRR7667301
285,SRR12228617
286,SRR15095942
287,SRR7667094
288,SRR3129539
289,SRR10252121
290,SRR12304669
291,ERR2856792
292,SRR7008458
293,SRR12695062
294,SRR10502604
295,SRR23096584
296,SRR9659836
297,SRR6337511
298,SRR7008811
299,ERR2766027
300,SRR17923056
301,SRR4454413
302,SRR8866853
303,SRR7667070
304,SRR22269117
305,SRR6450047
306,SRR8320637
307,SRR1557102
308,SRR7667051
309,SRR4454280
310,SRR7010669
311,SRR16701762
312,SRR7666359
313,SRR1528561
314,SRR7010810
315,SRR8871518
316,SRR8319392
317,SRR8319285
318,SRR7666844
319,ERR3931365
320,SRR11867270
321,SRR449331
322,SRR7667463
323,SRR3353337
324,SRR5170537
325,ERR9712180
326,SRR8320037
327,SRR8272735
328,SRR8319964
329,SRR5023573
330,SRR7667422
331,ERR4436779
332,SRR3129690
333,SRR17263770
334,SRR8435490
335,SRR8320775
336,SRR16507390
337,SRR1313095
338,SRR7509707
339,SRR4318451
340,SRR3278985
341,SRR8105463
342,SRR8320423
343,SRR3053568
344,SRR8590765
345,SRR10330991
346,SRR7010717
347,SRR11509716
348,SRR9048097
349,SRR12319634
350,SRR8105469
351,SRR6450034
352,SRR9608231
353,SRR4318461
354,SRR2973444
355,SRR8319608
356,SRR15997879
357,SRR8319855
358,SRR17843642
359,ERR7464443
360,SRR7666809
361,SRR15096236
362,SRR5023538
363,SRR12006125
364,SRR9670571
365,SRR7667589
366,SRR9659781
367,SRR8319878
368,SRR12775276
369,SRR15780750
370,SRR11999321
371,SRR8319851
372,SRR13977862
373,SRR14350347
374,SRR21043953
375,SRR25074760
376,SRR7058983
377,SRR7666572
378,SRR15064566
379,SRR5023615
380,SRR12006129
381,SRR7666387
382,SRR14850960
383,SRR7179568
384,SRR6511805
385,SRR10987018
386,SRR3228335
387,SRR8435468
388,SRR15064564
389,SRR7191966
390,SRR7666692
391,SRR5857022
392,SRR7666559
393,SRR12360064
394,SRR13927743
395,SRR7666937
396,SRR15972556
397,SRR8320467
398,SRR6409353
399,SRR1313116
400,SRR11452410
401,SRR10987010
402,SRR6347596
403,SRR22429002
404,SRR7008727
405,SRR12319931
406,SRR8320475
407,SRR8699678
408,SRR3500430
409,SRR8319881
410,SRR8319245
411,ERR6683649
412,SRR5364084
413,SRR5203831
414,SRR18584009
415,SRR8320114
416,SRR25814476
417,SRR3129375
418,SRR9660043
419,SRR5919383
420,SRR7779015
421,SRR3228340
422,SRR1313223
423,SRR8319552
424,SRR7008606
425,SRR8320527
426,SRR17134440
427,SRR15509190
428,SRR2155420
429,SRR3544538
430,SRR7179561
431,SRR6822815
432,SRR5286964
433,SRR11799653
434,SRR7666900
435,SRR2973438
436,SRR11509679
437,SRR12463642
438,SRR7048271
439,SRR7666828
440,SRR11509628
441,SRR10129831
442,SRR11107268
443,SRR3632496
444,ERR2631340
445,SRR7952828
446,SRR10268217
447,SRR7509703
448,ERR2856893
449,SRR23920956
450,SRR12320252
451,SRR12957056
452,SRR10126646
453,SRR7179585
454,SRR8483109
455,SRR6174899
456,SRR1313203
457,SRR8319527
458,SRR8042966
459,SRR11567112
460,SRR20740657
461,SRR9829773
462,SRR8272856
463,SRR8435454
464,SRR3290891
465,SRR10986783
466,SRR20740668
467,SRR11867196
468,SRR7667227
469,SRR14915862
470,SRR12109236
471,SRR3353251
472,SRR24391315
473,SRR6233934
474,ERR4172061
475,SRR8354890
476,SRR14457463
477,SRR9713193
478,SRR8780907
479,SRR15998051
480,SRR11867258
481,SRR7779130
482,SRR11867254
483,SRR22428938
484,SRR22333831
485,SRR2001198
486,SRR4454267
487,SRR9917479
488,SRR12319665
489,SRR7961369
490,SRR7667024
491,SRR9162829
492,ERR2631362
493,SRR13258634
494,SRR13182695
495,SRR7509693
496,SRR21357974
497,SRR8320912
498,SRR11452456
499,SRR17156702
