,Run
0,SRR9163313
1,SRR10439784
2,SRR1286925
3,SRR14233740
4,SRR14567633
5,SRR11780520
6,SRR6511499
7,SRR5179281
8,SRR8097378
9,SRR16541591
10,SRR18156525
11,SRR9016997
12,SRR8352444
13,SRR10439787
14,SRR11114652
15,SRR14567642
16,SRR10387437
17,SRR6511519
18,SRR16541602
19,SRR9017004
20,SRR16541651
21,SRR11780521
22,SRR9202751
23,SRR5942272
24,SRR1286920
25,SRR5052461
26,SRR16541673
27,SRR6879121
28,SRR21461725
29,SRR21986286
30,SRR12621223
31,SRR21006665
32,SRR18016629
33,SRR8256077
34,SRR8352436
35,SRR8358633
36,SRR18156541
37,SRR22520681
38,SRR9202760
39,SRR19357922
40,SRR9202762
41,SRR15414915
42,SRR19357921
43,SRR8663474
44,SRR5380564
45,SRR18016632
46,SRR11780519
47,SRR16541599
48,SRR6879122
49,SRR8352373
50,SRR9202802
51,SRR17465709
52,SRR11780523
53,SRR8352437
54,SRR10387440
55,SRR1640085
56,SRR16541695
57,SRR5179294
58,SRR8358612
59,SRR17809185
60,SRR10760465
61,SRR18156452
62,SRR6511482
63,SRR21986294
64,SRR8256084
65,SRR6879132
66,SRR14567635
67,SRR16541684
68,SRR10769313
69,SRR14961827
70,SRR8358662
71,SRR8632806
72,SRR9202743
73,SRR8097376
74,SRR10760479
75,SRR14374315
76,SRR17809187
77,SRR10970617
78,SRR19357918
79,SRR5380560
80,SRR8358643
81,SRR14233738
82,SRR13232948
83,SRR8358632
84,SRR8352415
85,SRR17465705
86,SRR16541618
87,SRR10487010
88,SRR16541676
89,SRR12621216
90,SRR22520682
91,SRR13232952
92,SRR8352457
93,SRR5179289
94,SRR9017016
95,SRR8352427
96,SRR6511479
97,SRR23447698
98,SRR9202792
99,SRR8358602
100,SRR12235075
101,SRR10760468
102,SRR9202804
103,SRR13123467
104,SRR8358617
105,SRR10487013
106,SRR1207866
107,SRR5269579
108,SRR1286928
109,SRR8352424
110,SRR8352459
111,SRR14961869
112,SRR8358635
113,SRR12235080
114,SRR18156547
115,SRR16541601
116,SRR8632812
117,SRR16541665
118,SRR8663470
119,SRR10387441
120,SRR10439786
121,SRR17848272
122,SRR10387431
123,SRR8358661
124,SRR8358669
125,SRR2656886
126,SRR16541677
127,SRR18156529
128,SRR6879133
129,SRR16541573
130,SRR16541692
131,SRR9016991
132,SRR8256071
133,SRR2060663
134,SRR11840702
135,SRR18016626
136,SRR10760482
137,SRR16541604
138,SRR9202776
139,SRR9017018
140,SRR8352413
141,SRR8358625
142,SRR6511480
143,SRR6511497
144,SRR13232947
145,SRR14961851
146,SRR6879131
147,SRR14961859
148,SRR9202779
149,SRR9202805
150,SRR8358658
151,SRR9202775
152,SRR9017017
153,SRR8352447
154,SRR6511515
155,SRR10387435
156,SRR16541690
157,SRR8358623
158,SRR14374311
159,SRR2060665
160,SRR16541641
161,SRR16541626
162,SRR8358607
163,SRR6879115
164,SRR14961863
165,SRR14567622
166,SRR22520672
167,SRR8632805
168,SRR16541600
169,SRR6511477
170,SRR1286923
171,SRR16541598
172,SRR8352430
173,SRR10769316
174,SRR14233737
175,SRR8358606
176,SRR12489226
177,SRR22520690
178,SRR8358614
179,SRR10386581
180,SRR3234525
181,SRR14233739
182,SRR14961835
183,SRR16541698
184,SRR10760467
185,SRR23447704
186,SRR1286927
187,SRR8352428
188,SRR16541605
189,SRR1286932
190,SRR11780518
191,SRR11780522
192,SRR16541700
193,SRR5179293
194,SRR6511509
195,SRR16541679
196,SRR18156544
197,SRR8358613
198,SRR10387434
199,SRR18059500
200,SRR9202756
201,SRR8352370
202,SRR12235083
203,SRR17848279
204,SRR20688788
205,SRR16541571
206,SRR1286935
207,SRR8352446
208,SRR1640082
209,SRR16541696
210,SRR22520702
211,SRR8358640
212,SRR10487012
213,SRR12235078
214,SRR10216444
215,SRR16541631
216,SRR14961865
217,SRR6511525
218,SRR8358627
219,SRR8358642
220,SRR8256083
221,SRR16541619
222,SRR16541667
223,SRR16541682
224,SRR18156530
225,SRR16578999
226,SRR16541654
227,SRR14961813
228,SRR8352360
229,SRR8352432
230,SRR8352434
231,SRR22520688
232,SRR22520685
233,SRR10970618
234,SRR8256087
235,SRR16541683
236,SRR14567631
237,SRR10970616
238,SRR10487006
239,SRR16541661
240,SRR8097373
241,SRR21986283
242,SRR10439783
243,SRR9017013
244,SRR13232949
245,SRR21461724
246,SRR14567641
247,SRR16541588
248,SRR21006667
249,SRR8352365
250,SRR19357917
251,SRR11840701
252,SRR9016998
253,SRR9163307
254,SRR16541633
255,SRR14374314
256,SRR8352356
257,SRR8632814
258,SRR8663471
259,SRR23024987
260,SRR5269578
261,SRR1286924
262,SRR14567634
263,SRR8097371
264,SRR5866126
265,SRR9202747
266,SRR21986287
267,SRR1640087
268,SRR13123469
269,SRR18016631
270,SRR9202745
271,SRR9163309
272,SRR20688793
273,SRR9202746
274,SRR8358652
275,SRR21006663
276,SRR16541693
277,SRR10387433
278,SRR23024989
279,SRR10387432
280,SRR10769314
281,SRR8358615
282,SRR9017021
283,SRR1286929
284,SRR8663464
285,SRR5179285
286,SRR19372645
287,SRR8358671
288,SRR8663475
289,SRR8352418
290,SRR8352456
291,SRR9017022
292,SRR18156450
293,SRR6511523
294,SRR10487009
295,SRR17465710
296,SRR5380561
297,SRR9017002
298,SRR11548510
299,SRR14567626
300,SRR10387439
301,SRR14233746
302,SRR10760464
303,SRR8352361
304,SRR14567628
305,SRR10487015
306,SRR10760477
307,SRR16541674
308,SRR6511478
309,SRR12621218
310,SRR8358648
311,SRR16541635
312,SRR8358636
313,SRR16541595
