,Run
0,SRR12503672
1,SRR16145792
2,SRR4240772
3,SRR4240827
4,SRR4240760
5,SRR12503667
6,SRR12503657
7,SRR12503656
8,SRR12503680
9,SRR1044578
10,SRR12503651
11,SRR4240863
12,SRR12503608
13,ERR6686056
14,ERR3671308
15,SRR17190581
16,SRR16145851
17,SRR4240794
18,SRR12503670
19,SRR1044566
20,SRR4240866
21,SRR12503607
22,SRR4240774
23,SRR1044550
24,SRR16145805
25,SRR4240819
26,SRR9130253
27,SRR12503617
28,SRR12503611
29,SRR11680358
30,SRR16145841
31,SRR16145791
32,SRR9130242
33,SRR1044468
34,SRR1044482
35,ERR6686062
36,SRR16145876
37,SRR12503623
38,SRR4240828
39,SRR1044424
40,SRR12503642
41,SRR7056242
42,SRR16145868
43,SRR16249094
44,SRR12503560
45,SRR16145859
46,SRR1044460
47,SRR1044461
48,SRR12503602
49,SRR4240825
50,ERR6686032
51,SRR16145849
52,SRR6996090
53,SRR16145776
54,SRR1044527
55,SRR16249093
56,ERR6686047
57,SRR16145867
58,SRR4240847
59,SRR1044510
60,SRR16145820
61,SRR16145823
62,SRR16145883
63,SRR16145862
64,ERR6686063
65,SRR17190582
66,SRR1044489
67,SRR6996102
68,SRR6996105
69,ERR6686041
70,SRR16145832
71,SRR16145898
72,SRR12503671
73,SRR12503571
74,SRR12503686
75,ERR6686077
76,SRR12503588
77,SRR4240775
78,SRR1044476
79,ERR6686067
80,SRR16145803
81,SRR12503645
82,SRR4240802
83,SRR16145882
84,SRR4240801
85,SRR16145844
86,SRR4240751
87,SRR4240845
88,ERR6686046
89,SRR12503649
90,SRR6996106
91,SRR12503569
92,SRR16145807
93,SRR1044535
94,SRR4240837
95,SRR9130237
96,SRR12503565
97,SRR4240808
98,SRR16145857
99,SRR1044475
100,SRR4240759
101,SRR9130241
102,SRR16145847
103,SRR12503553
104,ERR6686070
105,SRR12503581
106,SRR1044456
107,SRR6996095
108,SRR12503644
109,SRR12503575
110,SRR16145872
111,SRR4240782
112,SRR16145763
113,SRR12503660
114,SRR12503576
115,SRR4240824
116,SRR12503568
117,SRR16145793
118,SRR4240790
119,SRR12503640
120,ERR3671312
121,SRR4240754
122,SRR1044499
123,SRR12503589
124,SRR1044528
125,SRR4240807
126,SRR12503625
127,SRR16145817
128,SRR16145818
129,SRR16145781
130,SRR6996086
131,SRR4240848
132,SRR4240861
133,SRR6996092
134,SRR4240834
135,SRR12503615
136,SRR4240821
137,SRR12503684
138,SRR1044453
139,SRR1044457
140,SRR16145855
141,ERR6686073
142,ERR6686033
143,SRR6996120
144,SRR4240763
145,SRR12503567
146,SRR12503635
147,SRR1044477
148,SRR4240836
149,SRR16145787
150,SRR1044469
151,ERR6686040
152,SRR4240779
153,SRR4240849
154,SRR9130244
155,SRR12503599
156,SRR4240786
157,SRR4240806
158,SRR1044541
159,SRR4240815
160,SRR16145871
161,SRR12503618
162,ERR6686031
163,SRR16145824
164,SRR4240838
165,SRR12503633
166,SRR16249092
167,SRR12503604
168,SRR1044478
169,SRR6996093
170,SRR12503555
171,SRR4240843
172,SRR16145798
173,SRR16145802
174,SRR16145813
175,SRR12503624
176,SRR1635907
177,SRR1044459
178,SRR1044496
179,SRR12503631
180,ERR6686075
181,ERR6686037
182,SRR12503646
183,SRR4240797
184,SRR1044487
185,SRR16145836
186,SRR1044502
187,SRR7056236
188,SRR17847340
189,ERR6686050
190,ERR3671306
191,SRR17190579
192,SRR9130245
193,SRR12503605
194,SRR12503591
195,SRR7056235
196,SRR4240818
197,ERR6686039
198,SRR12503690
199,SRR1044501
200,SRR1044488
201,SRR4240780
202,SRR16145866
203,SRR12503614
204,SRR1044417
205,SRR4240811
206,SRR12503579
207,SRR1044565
208,SRR4240851
209,SRR16145894
210,SRR9130247
211,SRR16145810
212,SRR16145870
213,SRR12503600
214,SRR12503598
215,SRR6996094
216,SRR4240765
217,ERR6686061
218,SRR4240833
219,ERR6686053
220,SRR3192600
221,SRR4240831
222,SRR4240758
223,SRR16145881
224,SRR4240793
225,SRR17847339
226,SRR16145831
227,SRR12503685
228,SRR12503595
229,SRR4240860
230,ERR3671313
231,SRR16249087
232,SRR6996088
233,SRR16145768
234,SRR16249090
235,SRR16145822
236,ERR6686076
237,SRR4240812
238,SRR6996097
239,SRR4240846
240,SRR12503673
241,SRR16145796
242,SRR4240822
243,SRR1635041
244,SRR1044516
245,SRR16145888
246,SRR16145816
247,SRR4240783
248,SRR12503647
249,SRR16145887
250,SRR16145795
251,SRR4240852
252,SRR17190576
253,ERR6686048
254,SRR9130246
255,SRR16145786
256,SRR9734003
257,SRR16145804
258,SRR1044551
259,SRR1044418
260,SRR4240770
261,SRR16249088
262,SRR16145800
263,ERR6686042
264,SRR4240855
265,SRR16145880
266,SRR6996101
267,SRR12503632
268,SRR12503668
269,SRR17190577
270,SRR1635908
271,SRR1044518
272,SRR12503603
273,SRR1044495
274,SRR4240771
275,ERR6686064
276,SRR12503597
277,SRR12503557
278,SRR1044416
279,SRR12503634
280,SRR12503613
281,SRR12503641
282,SRR16145885
283,SRR4240788
284,SRR4240867
285,SRR16145861
286,SRR4240839
287,SRR3192694
288,SRR4240778
289,SRR16145789
290,SRR12503590
291,SRR12503587
292,SRR12503648
293,ERR3671311
294,ERR6686052
295,SRR12503629
296,SRR4240869
297,SRR4240859
298,SRR1044415
299,ERR6686055
300,SRR16145891
301,SRR16145877
302,ERR3671309
303,SRR12503585
304,SRR16145788
305,SRR12503687
306,SRR16145884
307,SRR12503682
308,SRR9734000
309,SRR12503654
310,ERR6686043
311,SRR16145897
312,SRR4240810
313,ERR6686057
314,SRR12503658
315,SRR1044422
316,SRR12503559
317,SRR12503610
318,SRR16145886
319,SRR4240773
320,SRR16145854
321,SRR16145767
322,SRR4240792
323,SRR16145839
324,SRR12503584
325,SRR16145890
326,SRR16145845
327,ERR6686074
328,SRR16145853
329,SRR4240766
330,SRR4240864
331,SRR12503564
332,SRR12503622
333,SRR4240791
334,SRR1635906
335,SRR16145770
336,SRR12503596
337,SRR12503655
338,SRR12503592
339,SRR4240753
340,SRR6996084
341,SRR1044458
342,SRR7056241
343,SRR16145889
344,SRR1044511
345,SRR4240868
346,SRR6996103
347,SRR16145874
348,SRR4240805
349,SRR7056238
350,SRR16145829
351,SRR9734002
352,SRR6996098
353,ERR3671314
354,SRR4240857
355,SRR1044421
356,SRR1044549
357,SRR12503676
358,SRR4240850
359,SRR6996083
360,ERR6686066
361,SRR4240761
362,SRR16145773
363,SRR16145783
364,SRR16145774
365,SRR4240809
366,SRR16145833
367,SRR4240844
368,SRR1635904
369,SRR4240813
370,SRR16145852
371,SRR12503594
372,SRR16145893
373,SRR1044423
374,SRR12503679
375,SRR12503620
376,SRR4240796
377,SRR16145848
378,SRR16145775
379,SRR1044576
380,SRR16145875
381,SRR16145895
382,SRR1044577
383,SRR7056239
384,SRR12503583
385,SRR12503638
386,SRR6996085
387,SRR1044515
388,SRR16145838
389,SRR4240746
390,SRR1044560
391,SRR12503662
392,SRR4240856
393,SRR4240747
394,SRR16145764
395,SRR12503637
396,SRR4240826
397,SRR4240840
398,SRR16145828
399,SRR1044514
400,SRR4240781
401,SRR4240800
402,SRR12503636
403,SRR12503669
404,SRR7056237
405,SRR6996100
406,SRR16145830
407,SRR12503689
408,SRR16145863
409,SRR16145846
410,SRR1044517
411,SRR4240854
412,SRR9130238
413,SRR6996119
414,SRR12503652
415,SRR12503577
416,ERR6686060
417,SRR12503554
418,SRR1044523
419,SRR9130251
420,SRR6996087
421,SRR16145797
422,SRR16145864
423,SRR6996089
424,SRR4240750
425,SRR6996096
426,SRR16145779
427,SRR16145892
428,SRR4240841
429,SRR4240814
430,SRR16145812
431,SRR9734001
432,SRR4240762
433,SRR4240777
434,SRR7056240
435,SRR16145811
436,SRR16145799
437,SRR16145766
438,SRR12503627
439,SRR1635905
440,SRR4240769
441,SRR12503606
442,SRR12503619
443,SRR16249095
444,SRR12503566
445,SRR12503630
446,SRR1044536
447,SRR4240862
448,SRR4240795
449,SRR16145826
450,SRR12503616
451,SRR12503661
452,SRR1044500
453,SRR1044512
454,SRR12503681
455,SRR9733999
456,SRR16145769
457,SRR16145777
458,SRR12503653
459,SRR16145879
460,SRR16145843
461,SRR12503582
462,SRR1044521
463,SRR16249096
464,SRR6996121
465,SRR4240832
466,SRR9734004
467,SRR1044454
468,SRR4240757
469,SRR16145840
470,SRR16145794
471,SRR1044529
472,SRR6996104
473,ERR6686068
474,SRR1044455
475,SRR4240767
476,ERR6686072
477,SRR4240830
478,SRR1044479
479,SRR12503665
480,SRR4240784
481,SRR12503639
482,SRR12503561
483,ERR6686034
484,SRR1044420
485,ERR6686045
486,SRR4240768
487,SRR1044555
488,SRR12503609
489,SRR16145814
490,SRR16145834
491,SRR16145873
492,SRR12503556
493,SRR16145878
494,SRR4240745
495,ERR6686058
496,SRR12503663
497,SRR16145842
498,SRR12503586
499,SRR16145850
500,ERR3671307
501,ERR3671310
502,ERR6686035
503,ERR6686036
504,SRR1044419
505,ERR6686038
506,ERR6686044
507,ERR6686049
508,ERR6686051
509,SRR1044451
510,SRR1044452
511,ERR6686054
512,ERR6686059
513,ERR6686065
514,ERR6686069
515,ERR6686071
516,ERR6686078
517,SRR1044474
518,SRR1044485
519,SRR1044494
520,SRR4240748
521,SRR4240749
522,SRR4240752
523,SRR4240755
524,SRR4240756
525,SRR1044513
526,SRR1044522
527,SRR1044524
528,SRR1044534
529,SRR1044544
530,SRR12503558
531,SRR12503562
532,SRR12503563
533,SRR4240764
534,SRR4240776
535,SRR4240785
