,Run
0,SRR11982954
1,SRR11979030
2,SRR11989174
3,SRR13631865
4,ERR1797522
5,SRR11981653
6,SRR11985547
7,SRR15915326
8,SRR11982484
9,SRR6259749
10,SRR11987904
11,SRR18284555
12,SRR11990404
13,SRR13631880
14,SRR11981222
15,SRR13632044
16,SRR11986412
17,SRR11989702
18,SRR6258735
19,SRR11985242
20,SRR6259496
21,SRR11982670
22,SRR11982738
23,ERR3240648
24,ERR2273344
25,SRR6257839
26,SRR11985888
27,ERR3240477
28,SRR22299203
29,SRR11980534
30,SRR11984423
31,SRR11983626
32,SRR13126970
33,SRR14154410
34,SRR11982301
35,SRR11986472
36,SRR11987287
37,SRR11980761
38,SRR2927784
39,SRR11989602
40,SRR11980796
41,SRR9874391
42,SRR10033954
43,SRR11986718
44,SRR11988180
45,SRR11980277
46,SRR7971447
47,SRR17490298
48,ERR2273422
49,SRR6258458
50,SRR11984038
51,SRR11981571
52,SRR6259846
53,SRR5375475
54,ERR4077997
55,SRR11984735
56,SRR11984769
57,SRR5219805
58,ERR2273420
59,SRR13126924
60,SRR11981474
61,SRR11988915
62,SRR11984024
63,SRR11989771
64,SRR6258998
65,SRR11987161
66,SRR6259273
67,SRR11982734
68,SRR6259540
69,SRR11979737
70,SRR11982308
71,SRR12899101
72,SRR6651895
73,ERR3240391
74,SRR11985726
75,SRR11983760
76,SRR11984721
77,SRR8823289
78,ERR3240324
79,SRR6259059
80,SRR6258557
81,SRR11983322
82,SRR14088800
83,SRR11982642
84,SRR8311011
85,SRR18890747
86,SRR14309796
87,SRR11984878
88,SRR6258160
89,SRR6259178
90,SRR6257815
91,SRR11981895
92,SRR11987739
93,SRR11980465
94,SRR7971463
95,SRR14088996
96,ERR1797287
97,SRR6257993
98,SRR11980235
99,ERR3240426
100,SRR6873188
101,SRR11986697
102,SRR11984671
103,SRR11989196
104,SRR11984077
105,SRR11984285
106,SRR7295879
107,SRR11984609
108,SRR16173257
109,SRR11990057
110,SRR11985714
111,SRR13899099
112,SRR13631773
113,SRR11983578
114,SRR11987999
115,SRR11984695
116,SRR11979234
117,SRR11982339
118,SRR14088872
119,SRR6259773
120,SRR8671418
121,SRR11979007
122,SRR6258201
123,SRR11984638
124,SRR11982677
125,SRR8311049
126,SRR11982474
127,SRR11987347
128,SRR7971437
129,SRR11990112
130,SRR11988334
131,SRR11979590
132,SRR11492037
133,SRR11990117
134,SRR11987260
135,SRR11983179
136,SRR11978835
137,ERR3240398
138,SRR11986677
139,SRR11979982
140,SRR10035159
141,SRR11990185
142,SRR5375603
143,SRR6259257
144,SRR11980025
145,ERR2273641
146,SRR11979842
147,ERR10162535
148,SRR11984575
149,SRR11983364
150,SRR11987818
151,SRR11983248
152,SRR11979824
153,SRR13632260
154,SRR12332734
155,SRR11980873
156,SRR11979953
157,SRR11980030
158,SRR6843151
159,SRR10035173
160,SRR11983987
161,ERR4077991
162,SRR3467481
163,SRR11984432
164,SRR5071115
165,SRR11978856
166,SRR11984585
167,SRR14088924
168,SRR11989671
169,SRR11981649
170,SRR6258326
171,SRR11982890
172,SRR14088820
173,SRR11978914
174,SRR14088948
175,SRR11981715
176,SRR11982243
177,SRR11981547
178,SRR11982259
179,SRR5375616
180,SRR11990032
181,SRR11980737
182,SRR8588309
183,SRR11989646
184,SRR11989732
185,SRR11984372
186,SRR23143805
187,SRR13631795
188,SRR11983270
189,SRR9733188
190,SRR13285239
191,SRR11988793
192,SRR11982817
193,ERR2938227
194,SRR13631713
195,ERR1797301
196,SRR11988529
197,SRR6258050
198,SRR8671335
199,SRR11981869
200,SRR6259850
201,ERR3240455
202,SRR11981979
203,ERR10100628
204,ERR2273488
205,SRR2927783
206,SRR11984172
207,SRR11981663
208,ERR3240340
209,SRR18650621
210,SRR11983140
211,SRR11984272
212,SRR11984095
213,SRR6258935
214,SRR11990145
215,SRR3592832
216,SRR21834951
217,SRR6260112
218,SRR11985148
219,SRR6257875
220,SRR8558968
221,SRR18395887
222,SRR14089017
223,SRR11981684
224,SRR11986236
225,SRR8823310
226,SRR11987187
227,ERR3240354
228,SRR11984155
229,SRR9874374
230,SRR13847961
231,SRR7235440
232,ERR10162513
233,SRR11979852
234,SRR11980650
235,SRR11979786
236,SRR11980531
237,SRR22299128
238,SRR11982510
239,ERR3240313
240,ERR3240556
241,SRR11982222
242,SRR14154397
243,SRR11981845
244,SRR11981174
245,SRR11989800
246,SRR11987184
247,SRR11988138
248,SRR11979110
249,SRR3467461
250,SRR7971412
251,SRR6258019
252,SRR6259375
253,ERR2273323
254,SRR11984133
255,SRR6258418
256,SRR11984135
257,SRR8782813
258,ERR2273510
259,SRR11983350
260,SRR11979793
261,SRR11982629
262,SRR11988973
263,SRR11981066
264,SRR11990461
265,SRR23143827
266,SRR11979067
267,SRR13631817
268,SRR11967309
269,SRR11984011
270,ERR3470501
271,SRR11987462
272,SRR11980258
273,SRR6258319
274,SRR11985468
275,SRR12492651
276,SRR11987142
277,SRR11983133
278,SRR6259713
279,SRR11979236
280,SRR12533390
281,ERR1797378
282,SRR6258374
283,SRR11985334
284,SRR11979396
285,SRR11978932
286,SRR11987976
287,SRR11981160
288,SRR11987265
289,SRR11967270
290,SRR11981464
291,SRR12332783
292,SRR11981430
293,SRR11982943
294,SRR11985323
295,SRR11988155
296,SRR11982926
297,SRR11988614
298,SRR2927787
299,SRR8558996
300,SRR11989750
301,SRR6843138
302,ERR6876225
303,SRR11986045
304,ERR2273356
305,SRR2932475
306,SRR11989214
307,SRR21839129
308,SRR6259343
309,SRR13632072
310,SRR11982010
311,SRR11990279
312,SRR8823306
313,SRR11989501
314,SRR11985236
315,SRR6259593
316,SRR11988967
317,SRR11985830
318,SRR10895474
319,SRR11987880
320,SRR6258736
321,SRR11981727
322,SRR9874432
323,SRR11982371
324,SRR11987944
325,ERR2273619
326,SRR11989706
327,SRR11989968
328,SRR11979439
329,SRR11984625
330,SRR11988960
331,SRR11986082
332,SRR11967272
333,SRR11982068
334,SRR11983908
335,ERR10162524
336,SRR6259720
337,SRR11987250
338,SRR6258491
339,SRR11983011
340,SRR18395884
341,SRR8559009
342,SRR11988443
343,SRR13631751
344,SRR11989256
345,SRR5375374
346,SRR11980769
347,SRR11979600
348,SRR14089064
349,SRR11987516
350,SRR10098974
351,SRR11984176
352,SRR11989507
353,SRR11981022
354,SRR11990235
355,SRR5376000
356,SRR11989300
357,ERR10100639
358,SRR6873189
359,SRR7366848
360,SRR6260177
361,SRR13632048
362,SRR11982647
363,SRR11989500
364,SRR11985074
365,SRR13632027
366,SRR8823322
367,SRR11990223
368,ERR1797464
369,SRR6258643
370,SRR11983630
371,SRR13631661
372,SRR5375639
373,SRR11982191
374,ERR2273630
375,SRR13860336
376,SRR11985205
377,SRR6258744
378,ERR3299737
379,SRR8558920
380,SRR13860321
381,SRR11984468
382,SRR16173341
383,SRR6257837
384,SRR11987047
385,SRR11985387
386,SRR11986318
387,SRR10035212
388,SRR6259752
389,SRR11978847
390,SRR6258995
391,SRR11987224
392,SRR11988732
393,SRR5246824
394,SRR11983027
395,SRR11983204
396,SRR5375437
397,SRR11979077
398,SRR11989003
399,SRR11985850
400,SRR13632124
401,SRR5375956
402,SRR11986812
403,SRR11983551
404,SRR13631958
405,SRR6258189
406,SRR11983790
407,SRR6259995
408,SRR11987642
409,SRR13632074
410,SRR11980846
411,SRR11982325
412,SRR6651906
413,SRR11989345
414,SRR8558981
415,SRR14071570
416,SRR13126955
417,SRR11983893
418,SRR11989150
419,SRR11989008
420,SRR11987372
421,SRR11988191
422,SRR6258476
423,SRR10035115
424,SRR11989753
425,SRR16976525
426,SRR6259918
427,SRR10035187
428,SRR11988808
429,SRR13632152
430,SRR11928553
431,SRR11985617
432,SRR13631848
433,SRR6258861
434,SRR8311042
435,SRR6258407
436,SRR11985877
437,SRR6258469
438,SRR11989788
439,SRR11987971
440,SRR6258824
441,SRR11984882
442,SRR11982756
443,SRR11979430
444,SRR11983423
445,SRR6257918
446,SRR13632234
447,SRR11981837
448,SRR14088991
449,SRR13847940
450,SRR11979822
451,SRR7235452
452,SRR11988185
453,SRR11982193
454,ERR6876237
455,SRR11985635
456,SRR11979003
457,SRR7295862
458,SRR11987625
459,SRR7751629
460,SRR11987136
461,SRR11985849
462,SRR11980135
463,SRR11983286
464,SRR11979487
465,SRR11985237
