,Run
0,SRR15655083
1,SRR17010968
2,SRR13854524
3,SRR19779930
4,SRR7292041
5,SRR14369844
6,SRR5591251
7,SRR7292493
8,SRR9074381
9,SRR15655088
10,SRR10446963
11,SRR15654919
12,SRR23214114
13,SRR15654901
14,SRR22247623
15,SRR15655006
16,SRR5261110
17,SRR5591135
18,SRR7133108
19,SRR21572288
20,SRR19779959
21,SRR15655072
22,SRR5591256
23,SRR7291971
24,SRR11476785
25,SRR7292219
26,SRR7292004
27,SRR7133186
28,SRR10447013
29,SRR7292163
30,SRR19779931
31,ERR9539283
32,SRR7292473
33,SRR7133183
34,SRR10447002
35,SRR10446952
36,ERR9539292
37,ERR9539324
38,SRR7133098
39,SRR7292226
40,SRR17011013
41,SRR5591327
42,SRR7133121
43,SRR5591156
44,SRR9602515
45,SRR15655071
46,SRR5591284
47,ERR9539361
48,SRR5591138
49,SRR20875016
50,SRR20875013
51,SRR15655129
52,SRR10951742
53,SRR7292200
54,SRR3726795
55,SRR14296493
56,SRR7133206
57,SRR11476815
58,SRR15655057
59,SRR5591347
60,SRR15655112
61,SRR7292091
62,SRR10447012
63,SRR21907708
64,ERR9539252
65,ERR9539261
66,SRR15654905
67,SRR7291968
68,SRR5261117
69,ERR2179089
70,SRR17011005
71,SRR15655019
72,SRR15655021
73,SRR15655052
74,ERR2179224
75,SRR11476802
76,SRR7292348
77,SRR7292347
78,SRR7292472
79,SRR10447011
80,SRR15654960
81,SRR11966537
82,SRR22247615
83,SRR11476740
84,SRR5591242
85,SRR2060068
86,SRR15654940
87,SRR19779979
88,ERR3795087
89,SRR19779968
90,SRR5591171
91,SRR7292056
92,SRR10446950
93,SRR11580894
94,SRR7292283
95,SRR5591101
96,SRR7292197
97,SRR11476808
98,SRR7292113
99,SRR7292293
100,ERR9539372
101,SRR7292000
102,SRR7292436
103,SRR7291990
104,SRR5591053
105,SRR11544684
106,SRR2040273
107,SRR11476823
108,SRR6730124
109,SRR15655101
110,SRR15654970
111,SRR7292434
112,ERR2179157
113,ERR2179201
114,SRR21907713
115,SRR11476764
116,SRR7292243
117,SRR15655081
118,ERR5685606
119,SRR7292459
120,ERR3795016
121,SRR11476733
122,SRR5591281
123,SRR13854536
124,SRR7292363
125,SRR7292165
126,SRR18284544
127,SRR7292281
128,SRR18313385
129,SRR21907700
130,SRR7133127
131,SRR21907686
132,SRR15654985
133,SRR14369849
134,SRR7133167
135,SRR13854537
136,SRR7292377
137,SRR5261107
138,SRR21907721
139,SRR22247611
140,SRR7292366
141,SRR2187598
142,SRR19779949
143,SRR5591278
144,ERR2179232
145,SRR21907644
146,ERR3795034
147,SRR7292380
148,SRR3726790
149,SRR5591230
150,SRR15655034
151,SRR5591084
152,SRR5591154
153,SRR19779978
154,SRR9041084
155,SRR15654929
156,SRR7292017
157,SRR21907722
158,ERR3795015
159,SRR7292184
160,SRR15654925
161,SRR14369873
162,SRR9041065
163,SRR7133150
164,SRR7292246
165,SRR21907704
166,SRR8088297
167,SRR7292098
168,SRR5591193
169,SRR11476749
170,SRR11476796
171,SRR5591258
172,SRR7291979
173,SRR17011022
174,SRR7133174
175,SRR7292446
176,SRR7292129
177,SRR15654932
178,SRR11476783
179,SRR7291964
180,ERR3795038
181,SRR9602514
182,SRR5261100
183,SRR7133173
184,ERR3795024
185,SRR7292524
186,SRR11966539
187,SRR21907705
188,SRR5591292
189,SRR10446942
190,SRR17010976
191,SRR22247617
192,SRR15654920
193,SRR11476772
194,SRR7292454
195,SRR7292085
196,SRR7291993
197,SRR7133159
198,SRR19779932
199,ERR2179108
200,SRR11580900
201,SRR2057057
202,ERR2179187
203,ERR2179181
204,SRR23214129
205,SRR15654981
206,SRR14369828
207,SRR7292238
208,SRR7292143
209,SRR5591148
210,SRR19779908
211,SRR5591130
212,SRR11476799
213,SRR6214654
214,SRR2040272
215,SRR5261124
216,SRR5591199
217,SRR11476736
218,SRR7292115
219,ERR2179137
220,SRR13056576
221,SRR19779925
222,SRR7292388
223,ERR2179202
224,SRR14094460
225,SRR3726736
226,SRR10446949
227,SRR15654974
228,SRR7133099
229,SRR9602521
230,SRR15654993
231,ERR9539267
232,SRR5591109
233,ERR3795025
234,SRR21572281
235,SRR17011012
236,SRR15654924
237,SRR18284548
238,SRR5591094
239,SRR7133151
240,ERR3795089
241,SRR2040274
242,SRR15654918
243,SRR7292245
244,SRR7292257
245,SRR3726808
246,SRR11476828
247,SRR16952436
248,ERR3795018
249,SRR15654987
250,ERR2179166
251,SRR7292086
252,SRR20875025
253,SRR7291980
254,SRR5591181
255,SRR17010977
256,SRR7292526
257,SRR14369864
258,SRR5591133
259,SRR7292001
260,SRR15655004
261,SRR7133215
262,SRR9041069
263,SRR5591112
264,SRR7292112
265,SRR17010985
266,SRR7292494
267,SRR10339176
268,SRR15655017
269,SRR9602510
270,ERR2179091
271,SRR5591217
272,SRR19779902
273,ERR9539284
274,SRR6730125
275,SRR7292373
276,SRR5591214
277,SRR7292437
278,SRR19779929
279,SRR13192938
280,SRR5591128
281,ERR2179146
282,SRR21907681
283,SRR7133195
284,SRR5591314
285,SRR5591095
286,SRR23214122
287,SRR7292352
288,SRR3726776
289,SRR15655074
290,ERR3795065
291,SRR7133152
292,ERR3795092
293,SRR1031036
294,SRR14094451
295,SRR7292315
296,SRR5591170
297,SRR10951744
298,SRR21907716
299,SRR1031038
300,SRR5591282
301,SRR17010991
302,SRR7292068
303,SRR15898399
304,SRR7292412
305,SRR21907641
306,SRR7133120
307,SRR7292087
308,SRR7133124
309,SRR7292225
310,ERR2179184
311,SRR7292426
312,SRR21907688
313,SRR7292514
314,SRR11476821
315,SRR5591159
316,SRR7292489
317,SRR7292298
318,SRR5591249
319,SRR5591206
320,SRR15655026
321,SRR10446984
322,SRR7292230
323,ERR3795055
324,SRR5591328
325,ERR3795080
326,SRR13056562
327,SRR17011007
328,ERR2179097
329,SRR23214118
330,SRR7292527
331,SRR7133110
332,SRR7292223
333,SRR3726840
334,ERR3795066
335,SRR9602482
336,SRR5591064
337,SRR20875028
338,SRR7292336
339,SRR7292453
340,SRR7133194
341,SRR5591353
342,SRR23920260
343,SRR5591186
344,SRR5591191
345,SRR15655040
346,SRR7292141
347,SRR5591071
348,SRR2040280
349,SRR13192942
350,SRR7133209
351,SRR15655046
352,SRR10951748
353,ERR9539354
354,SRR13058130
355,SRR11476739
356,SRR7133148
357,SRR15654899
358,ERR2179167
359,SRR23214117
360,ERR2179125
361,SRR7292497
362,ERR2179154
363,SRR5591325
364,SRR7292053
365,SRR5591172
366,SRR19779922
367,SRR15655090
368,ERR2179136
369,SRR6214649
370,SRR15655128
371,SRR7133138
372,SRR19779867
373,SRR21907710
374,SRR5591178
375,SRR11476827
376,SRR15655062
377,SRR19779966
378,SRR10446932
379,ERR9539383
380,SRR7292530
381,SRR14369861
382,ERR2179135
383,SRR19779987
384,SRR7133166
385,SRR10446983
386,SRR10446928
387,SRR7292008
388,SRR17011003
389,SRR15655010
390,SRR9041086
391,SRR7292415
392,SRR7292303
393,SRR10446968
394,SRR7292343
395,ERR3795041
396,SRR5591318
397,SRR15654951
398,SRR5591232
399,SRR21907670
400,SRR5591062
401,SRR5591362
402,SRR5591219
403,SRR5591056
404,SRR5591211
405,SRR7292405
406,SRR15655027
407,SRR7292507
408,ERR2179138
409,SRR15655041
410,SRR7292483
411,SRR19779942
412,SRR10446970
413,ERR2179194
414,ERR9539396
415,SRR15654935
416,SRR6214642
417,SRR7133102
418,SRR21572291
419,SRR15898397
420,ERR2179130
421,SRR10447010
422,SRR7133118
423,SRR17010996
424,SRR7292414
425,SRR5204172
426,SRR20875024
427,SRR7292276
428,SRR10447008
429,SRR7292325
430,SRR14369836
431,SRR7292038
432,SRR7292131
433,SRR7292520
434,SRR19779863
435,ERR2179208
436,SRR14296495
437,SRR20875023
438,SRR7292265
439,SRR7292114
440,SRR11580899
441,SRR7133144
442,SRR7292484
443,SRR14369850
444,SRR13854523
445,ERR9539259
446,SRR7133197
447,SRR7133131
448,SRR20875017
449,SRR5261104
450,SRR19779852
451,SRR7133145
452,SRR17010969
453,SRR7292180
454,ERR3795029
455,SRR7292121
456,SRR15654946
457,ERR9539345
458,SRR7292440
459,SRR7292368
460,SRR10447006
461,SRR19779859
462,SRR10446934
463,SRR5591197
464,SRR15655099
465,SRR7292217
466,SRR5591069
467,SRR11476732
468,ERR9539390
469,SRR18500369
470,SRR5591123
471,SRR19779963
472,SRR5591269
473,SRR5591212
474,SRR6214647
475,SRR15654998
476,SRR15655097
477,SRR11476737
478,SRR15654992
479,SRR11476784
480,SRR14296494
481,SRR7292253
482,SRR7292463
483,SRR15654942
484,SRR20875018
485,SRR15655104
486,SRR9041082
487,ERR2179190
488,SRR15654943
489,ERR9539318
490,SRR7292277
491,SRR7292523
492,SRR7133123
493,SRR21907685
494,SRR21388528
495,ERR2179207
496,SRR15655033
497,SRR7133149
498,SRR10446976
499,SRR7292267
