,Run
0,SRR17686306
1,SRR2878956
2,SRR2106693
3,SRR15217539
4,SRR11590350
5,SRR5185165
6,SRR18819466
7,SRR15460274
8,SRR12271042
9,SRR7702264
10,SRR7889566
11,SRR6376801
12,SRR12707594
13,SRR8671343
14,SRR15217428
15,SRR5482435
16,SRR24505892
17,SRR10763612
18,SRR18579280
19,SRR11319261
20,SRR7702261
21,SRR21619457
22,SRR17534156
23,SRR16524485
24,SRR11819924
25,SRR8541734
26,SRR8274661
27,SRR5185191
28,ERR6389066
29,SRR15217643
30,SRR11812712
31,SRR12208254
32,SRR15100698
33,SRR15912325
34,SRR14819185
35,SRR2072587
36,SRR5041453
37,SRR11819919
38,SRR3646666
39,SRR19668048
40,SRR5059760
41,SRR19733526
42,SRR5041356
43,SRR5185262
44,SRR19733456
45,SRR5185291
46,SRR13872859
47,SRR5041076
48,SRR10096838
49,SRR10133971
50,SRR15217388
51,SRR15100743
52,SRR5041412
53,SRR15217196
54,SRR19733378
55,SRR21530986
56,SRR17037964
57,SRR8541806
58,SRR17406269
59,SRR25032283
60,SRR8671420
61,SRR13559937
62,ERR10162556
63,SRR5041438
64,SRR12539429
65,SRR16093346
66,SRR15217241
67,SRR16342889
68,SRR12271031
69,SRR15424681
70,SRR15217698
71,SRR5482464
72,SRR18579272
73,SRR23111713
74,SRR11319271
75,SRR15100764
76,SRR5817495
77,SRR15217341
78,SRR11027577
79,SRR16524430
80,SRR12136289
81,SRR10962321
82,SRR13509971
83,SRR5185164
84,SRR9694248
85,SRR15217617
86,SRR5041103
87,SRR18893637
88,SRR15460290
89,SRR15100695
90,SRR15217712
91,SRR23574200
92,SRR6277038
93,SRR13201866
94,SRR17144615
95,SRR5185204
96,ERR1025493
97,SRR18579282
98,SRR19733520
99,SRR16524415
100,SRR16524367
101,SRR5185327
102,SRR11819951
103,SRR9694257
104,SRR24505876
105,SRR19214137
106,SRR22407840
107,SRR13388850
108,SRR8671330
109,SRR5059803
110,SRR13509959
111,SRR13872877
112,SRR16524427
113,SRR18604452
114,SRR11590359
115,SRR16524392
116,SRR9659544
117,SRR11772187
118,SRR18893626
119,SRR9192566
120,SRR17673805
121,SRR5041258
122,SRR7470333
123,SRR22865298
124,ERR6090623
125,SRR24771407
126,SRR5041020
127,SRR13486651
128,SRR15217597
129,SRR15100755
130,SRR15217610
131,SRR18687435
132,SRR5041150
133,SRR2072588
134,SRR11287530
135,SRR15217210
136,SRR19733468
137,SRR19733419
138,SRR20971333
139,SRR14616902
140,SRR15217269
141,SRR15217692
142,SRR15217306
143,SRR5041065
144,SRR8618429
145,SRR8671418
146,SRR14914976
147,SRR15217483
148,SRR5041499
149,SRR12539434
150,ERR2808268
151,SRR16132074
152,SRR19214126
153,SRR8816622
154,SRR18013614
155,SRR5041512
156,SRR7702231
157,SRR5041567
158,SRR10462328
159,SRR1964898
160,SRR17648149
161,SRR12077695
162,SRR5041503
163,SRR5041562
164,SRR8671423
165,ERR6877942
166,SRR5041343
167,SRR5973188
168,SRR16093382
169,SRR15217335
170,SRR19360487
171,SRR3289909
172,SRR5041521
173,SRR5041310
174,SRR13872879
175,SRR14819187
176,SRR17236606
177,SRR5185317
178,ERR4624484
179,SRR5059752
180,SRR20971325
181,SRR2106694
182,SRR9645583
183,SRR16524355
184,SRR5041196
185,SRR11472047
186,SRR22229814
187,SRR9192574
188,ERR8521354
189,SRR5865188
190,ERR10763290
191,SRR5185208
192,SRR14231506
193,SRR14616900
194,SRR3646678
195,SRR10843133
196,SRR5041291
197,SRR11856101
198,SRR10497723
199,SRR10704286
200,SRR7889556
201,SRR8541743
202,SRR15217223
203,SRR5041183
204,SRR5041383
205,ERR10162519
206,SRR5059764
207,SRR20971324
208,SRR13489996
209,SRR19733525
210,SRR18013637
211,SRR15217303
212,ERR10162563
213,ERR10763289
214,SRR16524368
215,SRR17037967
216,SRR11139129
217,SRR8618431
218,SRR5185156
219,SRR8671338
220,SRR11250125
221,SRR12077692
222,SRR5041165
223,SRR17037951
224,SRR15217400
225,SRR5041565
226,SRR12580280
227,SRR16524494
228,SRR19733446
229,SRR4255867
230,SRR10704277
231,SRR11819927
232,SRR17873533
233,SRR10843135
234,SRR8927993
235,SRR12077696
236,SRR11819930
237,SRR11250138
238,SRR11819932
239,SRR5041520
240,SRR15782637
241,SRR11492553
242,ERR1855239
243,SRR12271044
244,SRR11250146
245,SRR8541669
246,SRR5041564
247,ERR10162522
248,SRR5185193
249,SRR18819454
250,SRR15217439
251,SRR15217229
252,SRR9192577
253,SRR15217523
254,SRR5041318
255,SRR25580122
256,SRR7430642
257,SRR9192595
258,SRR8541720
259,SRR14308479
260,SRR13336724
261,SRR17873534
262,SRR8671390
263,SRR10690075
264,SRR14740450
265,SRR12545964
266,SRR11287540
267,SRR15781773
268,SRR15781805
269,SRR11819920
270,SRR5185290
271,SRR17144612
272,SRR5041222
273,SRR13336731
274,SRR21530987
275,SRR5185215
276,SRR11319270
277,SRR14819178
278,SRR13362807
279,SRR5865187
280,SRR15781755
281,ERR1725155
282,SRR13486630
283,SRR15217250
284,SRR2878960
285,SRR5041263
286,SRR10693544
287,SRR8541777
288,SRR15100835
289,SRR11040752
290,SRR5041333
291,SRR16524436
292,SRR5041016
293,SRR5041036
294,SRR14819209
295,SRR9910653
296,SRR15217332
297,SRR16524417
298,SRR16524469
299,SRR15217391
300,SRR19733400
301,SRR5041108
302,SRR12867694
303,SRR5185239
304,SRR5185192
305,SRR7702248
306,ERR10123877
307,SRR5041433
308,SRR11492552
309,ERR6389069
310,ERR1725158
311,SRR16524398
312,SRR5041355
313,SRR7430636
314,SRR6799671
315,SRR17282445
316,SRR19733396
317,SRR15217528
318,SRR23121864
319,SRR23283877
320,SRR5041301
321,SRR16524444
322,SRR15217533
323,SRR15781787
324,SRR24315986
325,SRR15217700
326,SRR15100703
327,SRR9694259
328,SRR5185311
329,ERR2834532
330,SRR3602711
331,SRR12136295
332,SRR5041440
333,SRR15217227
334,SRR14819184
335,SRR19733546
336,SRR22561258
337,SRR8816616
338,SRR20971334
339,SRR8107753
340,SRR10763613
341,ERR4624476
342,SRR18819456
343,ERR457737
344,SRR20971322
345,SRR5185246
346,SRR3646675
347,SRR5185301
348,SRR15782661
349,SRR5185286
350,SRR15781778
351,SRR15100715
352,SRR5041158
353,SRR3602709
354,SRR5041130
355,SRR25580113
356,SRR5041557
357,SRR17873531
358,SRR11139128
359,SRR11250135
360,SRR15100676
361,SRR5817498
362,SRR13489992
363,SRR5041082
364,SRR13509978
365,SRR11767777
366,SRR15100816
367,SRR12545969
368,SRR5185306
369,SRR17236615
370,SRR10244723
371,SRR7702251
372,SRR18539090
373,SRR8541665
374,SRR5041508
375,SRR19733383
376,SRR16524461
377,SRR24505894
378,SRR12136298
379,SRR15217345
380,SRR9624688
381,SRR15100801
382,SRR8541691
383,SRR12908140
384,SRR7889572
385,SRR16093365
386,SRR7430637
387,SRR6677637
388,SRR19733493
389,SRR5185360
390,SRR5482469
391,SRR15782096
392,SRR5041081
393,ERR10162558
394,SRR5482482
395,SRR11040751
396,SRR14740274
397,SRR5041368
398,SRR12539460
399,SRR10690058
400,SRR9192569
401,SRR13201848
402,SRR16093344
403,SRR10690091
404,SRR15217725
405,SRR7470312
406,SRR6799667
407,SRR5041379
408,SRR15217587
409,SRR8541655
410,SRR15217226
411,SRR5041469
412,SRR5041167
413,SRR13490008
414,SRR15217418
415,SRR8541654
416,SRR12707607
417,SRR19733558
418,SRR22229821
419,SRR5185304
420,SRR17273934
421,SRR15781785
422,SRR12720228
423,SRR3602714
424,SRR11812717
425,SRR24315972
426,SRR19668035
427,SRR12545973
428,SRR15782061
429,SRR19733363
430,SRR4413217
431,SRR13388848
432,SRR16093350
433,SRR5185371
434,SRR5041054
435,SRR8541805
436,SRR12539417
437,SRR16093329
438,SRR21640532
439,SRR5185213
440,SRR8541723
441,SRR23121868
442,SRR5041287
443,SRR5832503
444,SRR7430638
445,SRR18013624
446,SRR15217434
447,SRR12208262
448,ERR8521360
449,SRR15217567
450,SRR19176841
451,SRR11472038
452,SRR17037947
453,SRR5041090
454,SRR5041551
455,SRR15100751
456,SRR5482455
457,SRR16524378
458,SRR24162905
459,SRR15781802
460,SRR10690064
461,SRR15100735
462,ERR10123870
463,SRR8671400
464,SRR5041004
465,SRR7889565
466,SRR13489988
467,ERR3456455
468,SRR15217353
469,SRR8541831
470,SRR7889561
471,SRR5041128
472,SRR17534161
473,SRR7702243
474,SRR13486652
475,SRR5041295
476,SRR5041504
477,SRR14740454
478,SRR15295308
479,ERR10123879
480,SRR5041540
481,SRR5041544
482,SRR15460279
483,SRR15217225
484,SRR15217468
485,SRR15217425
486,ERR10162562
487,SRR5059778
488,SRR5041072
489,SRR14740442
490,SRR15217650
491,SRR12185772
492,SRR15460289
493,SRR10690072
494,SRR24097974
495,SRR18893643
496,SRR5041462
497,SRR2072580
498,SRR16093374
499,SRR5185235
