,Run
0,SRR14168776
1,SRR11806878
2,SRR15031050
3,SRR5220008
4,SRR17645465
5,SRR17645421
6,SRR6907549
7,SRR15031036
8,SRR17645432
9,SRR10336173
10,SRR9952828
11,SRR6782335
12,SRR9009990
13,SRR17645492
14,SRR1747951
15,SRR6907477
16,SRR12106868
17,SRR6907532
18,SRR6907612
19,SRR6782356
20,SRR10363241
21,SRR7290054
22,SRR10363244
23,SRR6782359
24,SRR6782360
25,SRR7868130
26,SRR6907365
27,SRR5786666
28,SRR5786696
29,SRR24488189
30,SRR22806340
31,SRR6907537
32,ERR3098069
33,SRR19571469
34,SRR22739011
35,SRR25257523
36,SRR6907332
37,SRR10265156
38,SRR6907280
39,SRR5786759
40,SRR10745717
41,SRR6907442
42,SRR5786723
43,SRR5786660
44,SRR12304291
45,SRR10263482
46,SRR17645529
47,SRR5219999
48,SRR17190581
49,SRR6907397
50,SRR5687594
51,SRR15031068
52,SRR22696206
53,SRR7058314
54,SRR24488190
55,SRR17645507
56,SRR11806863
57,SRR15031088
58,SRR2918997
59,SRR13973085
60,SRR17645459
61,SRR24745571
62,SRR10336190
63,SRR10745709
64,SRR7058321
65,SRR13255737
66,SRR5786758
67,SRR10266734
68,SRR6907416
69,SRR6718417
70,SRR6907472
71,SRR6907634
72,SRR12106998
73,SRR13994114
74,SRR17645438
75,SRR3192367
76,SRR6907460
77,SRR17645621
78,SRR17645581
79,SRR14930735
80,SRR6907528
81,SRR23920430
82,SRR5219986
83,SRR17645480
84,SRR10745726
85,SRR6907361
86,SRR3493230
87,SRR10745719
88,SRR9130243
89,SRR10265034
90,SRR9117126
91,SRR16779295
92,SRR10363221
93,SRR5786733
94,SRR10063536
95,SRR12768372
96,SRR14168783
97,SRR7868179
98,SRR10262375
99,SRR6782347
100,SRR17645487
101,SRR17645394
102,SRR17645523
103,SRR17645550
104,SRR6782325
105,SRR17645552
106,SRR12768339
107,SRR9117128
108,SRR10336176
109,SRR5786736
110,SRR7588292
111,SRR1383363
112,SRR17645525
113,SRR4026612
114,SRR10265297
115,SRR10265145
116,SRR22846100
117,SRR10336180
118,SRR12768352
119,SRR6907573
120,SRR14537599
121,SRR1776526
122,SRR20012901
123,SRR10265270
124,SRR10745720
125,SRR12106990
126,SRR7664340
127,SRR6907312
128,SRR5786639
129,SRR18143914
130,SRR3185387
131,SRR6907551
132,SRR7868142
133,SRR17645615
134,SRR5786744
135,SRR6782327
136,SRR10363223
137,SRR1747958
138,SRR16798083
139,SRR17645390
140,SRR13994113
141,SRR18759003
142,SRR1383380
143,SRR9117131
144,SRR9117125
145,SRR7868106
146,SRR10265496
147,SRR12304288
148,SRR5786693
149,SRR22806341
150,SRR7290059
151,SRR6782336
152,SRR14930734
153,SRR1617457
154,SRR10969443
155,SRR7868135
156,SRR17645585
157,SRR7868132
158,SRR22739002
159,SRR4270615
160,SRR5220012
161,SRR23558679
162,SRR17645567
163,SRR7058310
164,SRR6907602
165,SRR17645578
166,SRR5786641
167,SRR10745702
168,SRR4026617
169,SRR18143913
170,SRR1617460
171,SRR11806881
172,SRR16990417
173,SRR24488181
174,SRR9130238
175,SRR7868183
176,SRR20012903
177,SRR18759009
178,SRR6907272
179,SRR5786751
180,SRR10265341
181,SRR11806871
182,SRR12671437
183,SRR22738979
184,SRR1686780
185,SRR6907539
186,SRR10263287
187,SRR14930740
188,SRR1383401
189,ERR3098042
190,SRR12107004
191,SRR6907340
192,SRR10265507
193,SRR5220011
194,SRR22696201
195,SRR15417953
196,SRR14320291
197,SRR3192393
198,SRR10265913
199,SRR16798082
200,SRR7058317
201,SRR3192358
202,SRR7588294
203,SRR6907355
204,SRR10745691
205,SRR16913881
206,SRR17645360
207,SRR10265163
208,SRR22806343
209,SRR6907600
210,SRR6907375
211,SRR4421652
212,SRR12768369
213,SRR9009998
214,SRR12106871
215,SRR22738990
216,SRR17190615
217,SRR22739006
218,SRR5786684
219,SRR6907406
220,SRR6907414
221,SRR10265344
222,SRR5786752
223,SRR10745692
224,SRR6907479
225,SRR10263291
226,SRR1020600
227,SRR15031074
228,SRR6907264
229,SRR6907320
230,SRR20646483
231,SRR4270623
232,SRR18759007
233,SRR22696185
234,SRR10265501
235,SRR7058319
236,SRR17190580
237,SRR17645442
238,SRR15203912
239,SRR17645501
240,SRR14598294
241,SRR16990418
242,ERR3098051
243,SRR3493130
244,SRR10262383
245,SRR5786709
246,SRR6782364
247,SRR6907363
248,SRR7588302
249,SRR17645618
250,SRR18143916
251,SRR6513279
252,SRR10745704
253,SRR10745675
254,SRR748307
255,SRR19884320
256,SRR17645562
257,SRR10265491
258,SRR7058322
259,SRR18604274
260,SRR6782319
261,SRR7868140
262,SRR15031087
263,SRR21815043
264,SRR7058333
265,SRR10265287
266,SRR12362564
267,SRR6907481
268,SRR10336195
269,SRR17645380
270,SRR11806866
271,SRR12106873
272,SRR6782373
273,SRR6907348
274,SRR5219988
275,SRR10265293
276,SRR10336178
277,SRR5220014
278,SRR6782313
279,SRR12107001
280,SRR10523105
281,SRR3192388
282,SRR10266738
283,SRR17645391
284,SRR15203913
285,SRR9656548
286,SRR10263286
287,SRR6996105
288,SRR5786712
289,SRR13994110
290,SRR10745678
291,SRR8715398
292,SRR10265514
293,SRR17645456
294,SRR6996106
295,SRR12106997
296,SRR5368417
297,SRR14537597
298,SRR10263277
299,SRR22696217
300,SRR9130252
301,SRR2919151
302,SRR6907418
303,SRR17645563
304,SRR10523098
305,SRR22846094
306,SRR1383359
307,SRR7257231
308,SRR23609880
309,SRR9130251
310,SRR10265285
311,SRR15031080
312,SRR3113205
313,SRR10263481
314,SRR6782324
315,SRR1039516
316,SRR3493240
317,SRR2054655
318,SRR17645502
319,SRR10266741
320,SRR14930729
321,SRR10523108
322,SRR9130245
323,SRR23920441
324,SRR4270619
325,SRR6907453
326,SRR6718418
327,SRR18329096
328,SRR17645496
329,SRR16958452
330,SRR5786706
331,SRR24488171
332,SRR15031091
333,SRR10745701
334,SRR17645430
335,SRR10263486
336,SRR19571475
337,SRR20012777
338,SRR22738993
339,SRR6907586
340,SRR6907464
341,SRR11193228
342,SRR14168781
343,SRR10266732
344,SRR1686774
345,SRR1383409
346,SRR7058326
347,SRR14598295
348,SRR3192551
349,SRR17645609
350,SRR17645536
351,SRR4447047
352,SRR10265490
353,SRR7257230
354,SRR5786683
355,SRR5786703
356,SRR10263478
357,SRR19884318
358,SRR10523101
359,SRR17645619
360,SRR17645534
361,SRR1383388
362,SRR17645461
363,SRR17645398
364,SRR17645375
365,SRR10265041
366,SRR15031037
367,SRR6996093
368,SRR1383373
369,SRR10265343
370,SRR7290046
371,SRR17645635
372,SRR17645565
373,SRR7868131
374,SRR5786730
375,SRR17645612
376,SRR15209905
377,SRR15203906
378,SRR12106996
379,SRR7257234
380,SRR2054658
381,SRR11806867
382,SRR18230780
383,SRR11110035
384,SRR17645541
385,SRR1617455
386,SRR5786675
387,SRR17645557
388,SRR6782320
389,SRR10265339
390,SRR4270621
391,SRR6782349
392,SRR6907508
393,SRR5220004
394,SRR1383391
395,SRR6907459
396,SRR4447037
397,SRR4447034
398,SRR11193214
399,SRR23609879
400,SRR6907429
401,SRR6782346
402,SRR14320292
403,SRR10265269
404,SRR18230782
405,SRR15203914
406,SRR10745683
407,SRR22696189
408,SRR18759005
409,SRR10265158
410,SRR4026618
411,SRR12106870
412,SRR1383378
413,SRR23558680
414,SRR12106988
415,SRR18604270
416,SRR22739007
417,SRR4026615
418,SRR17645433
419,SRR6907632
420,SRR6907510
421,SRR6996119
422,SRR1383407
423,SRR22846103
424,SRR14537600
425,SRR6907514
426,SRR15031079
427,SRR5182813
428,ERR3098035
429,SRR6782357
430,SRR5786681
431,SRR17645377
432,SRR18143918
433,SRR1383374
434,SRR13994118
435,SRR16958451
436,SRR9130239
437,SRR5786640
438,SRR17645484
439,SRR10265154
440,SRR17645358
441,SRR6907412
442,SRR12248280
443,SRR13521024
444,SRR10336197
445,SRR22696195
446,SRR17645489
447,SRR18352945
448,SRR15031075
449,SRR12113865
450,SRR10263303
451,SRR1747965
452,SRR14168782
453,SRR17645415
454,SRR15031057
455,SRR13142643
456,SRR5786638
457,SRR5786687
458,SRR6907321
459,SRR14320295
460,SRR14598292
461,SRR22738988
462,SRR22806344
463,SRR6718422
464,SRR6907451
465,SRR5786680
466,ERR3098041
467,SRR1039513
468,SRR13255741
469,SRR23794769
470,SRR11806873
471,SRR11193204
472,SRR5368418
473,SRR6996083
474,SRR10263488
475,SRR23610357
476,SRR6907314
477,SRR9010010
478,SRR5786688
479,SRR6907610
480,SRR12248327
481,SRR12103746
482,SRR12248328
483,SRR19789924
484,SRR6513282
485,SRR9010007
486,SRR10265164
487,SRR5786705
488,SRR1747954
489,SRR8715397
490,SRR10745728
491,SRR17645401
492,SRR5182811
493,SRR4026607
494,SRR17645475
495,SRR4447048
496,SRR6907622
497,SRR2994084
498,SRR5786716
499,SRR5220003
