,Run
0,SRR17279456
1,SRR11878636
2,SRR2059434
3,SRR2919632
4,SRR7900188
5,SRR8786527
6,SRR22560013
7,SRR7773400
8,SRR17279414
9,SRR4292755
10,SRR2059428
11,SRR18390893
12,SRR21086593
13,SRR9091003
14,SRR1658404
15,SRR17279452
16,SRR8799742
17,SRR11878627
18,SRR5990684
19,SRR8786528
20,SRR22560003
21,SRR7900190
22,SRR3692369
23,SRR8313015
24,SRR7900198
25,SRR7773406
26,SRR12978704
27,SRR11317808
28,ERR2493799
29,SRR17279412
30,SRR2059430
31,SRR13675230
32,SRR17279417
33,SRR21424148
34,SRR9091004
35,ERR2493797
36,SRR3692633
37,SRR15286222
38,SRR10417449
39,SRR12883191
40,ERR2259205
41,SRR17885747
42,SRR8799741
43,ERR2493796
44,SRR21424140
45,SRR22559998
46,SRR9091001
47,SRR4292750
48,SRR17279464
49,SRR17279446
50,SRR24286009
51,SRR7900182
52,SRR24837455
53,SRR23097616
54,SRR16770772
55,SRR15286221
56,SRR7773427
57,SRR11317807
58,SRR10417443
59,SRR7773414
60,SRR21086591
61,SRR8313007
62,SRR2919631
63,SRR1799840
64,SRR7900171
65,SRR24837456
66,SRR5990685
67,SRR15614372
68,SRR18390891
69,SRR4292751
70,SRR11816631
71,SRR12952552
72,SRR22559991
73,SRR7124059
74,SRR7773424
75,SRR10022441
76,SRR7900194
77,SRR11878633
78,SRR5990679
79,SRR11776786
80,SRR5990676
81,SRR17734348
82,SRR7773404
83,SRR17279410
84,SRR15343183
85,SRR2059431
86,SRR1646737
87,SRR12978701
88,SRR11878634
89,SRR11317809
90,SRR7900183
91,SRR18294341
92,SRR18294336
93,SRR1799837
94,SRR12978703
95,SRR18390892
96,SRR11878628
97,SRR8786525
98,SRR22560012
99,SRR8786522
100,SRR4292752
101,SRR5725940
102,SRR9091002
103,SRR12952557
104,SRR15286220
105,SRR2919633
106,SRR12205442
107,SRR22096136
108,SRR12205441
109,SRR7900187
110,SRR965807
111,SRR10417452
112,SRR7773417
113,SRR965796
114,SRR7900169
115,SRR16770770
116,SRR11776780
117,SRR10417454
118,SRR15343180
119,SRR17279422
120,SRR17734347
121,SRR10022445
122,SRR22559988
123,SRR10022437
124,SRR15286213
125,SRR17279436
126,SRR7773401
127,SRR15286214
128,SRR12883189
129,SRR8786526
130,SRR10022444
131,SRR4292753
132,SRR8313006
133,SRR21424146
134,SRR7773409
135,SRR17524790
136,SRR15343184
137,SRR2059433
138,SRR5747429
139,SRR13968766
140,SRR2059426
141,SRR22560008
142,SRR7773422
143,SRR13816094
144,SRR4292757
145,SRR18441336
146,SRR7124058
147,SRR24837448
148,SRR17279405
149,SRR16952353
150,SRR22560015
151,SRR3692348
152,SRR24837454
153,SRR17279441
154,SRR13816096
155,SRR12682743
156,SRR10417450
157,SRR22560000
158,SRR17279416
159,SRR7124057
160,SRR5725939
161,SRR15286212
162,SRR9091005
163,SRR22560005
164,SRR18441331
165,SRR13500339
166,SRR7773413
167,SRR11878631
168,SRR11776787
169,SRR24837450
170,SRR15286223
171,SRR13968763
172,SRR23097619
173,SRR23097621
174,SRR17279407
175,SRR7900173
176,SRR1658403
177,SRR17279440
178,SRR1658395
179,SRR5747430
180,SRR11776777
181,SRR5990683
182,SRR23097617
183,SRR8786523
184,ERR2259206
185,SRR17279415
186,SRR12952551
187,SRR17279459
188,SRR9091011
189,SRR17279448
190,SRR13968768
191,SRR11317805
192,SRR24837449
193,SRR2059427
194,SRR11776783
195,SRR17279403
196,SRR15343187
197,SRR14902700
198,SRR8313010
199,SRR18390897
200,SRR7773418
201,SRR7124065
202,SRR17279439
203,SRR17885744
204,SRR7900191
205,SRR10022438
206,SRR21086589
207,SRR10417453
208,SRR11776776
209,SRR10417455
210,SRR14902698
211,SRR15343185
212,SRR23097624
213,SRR24921160
214,SRR7124055
215,SRR8313014
216,SRR7773410
217,SRR13968762
218,SRR22559990
219,SRR21424142
220,SRR22560004
221,SRR7900178
222,SRR17524791
223,SRR1658405
224,SRR12883192
225,SRR13924094
226,SRR24286010
227,SRR15343186
228,SRR12952559
229,SRR1658398
230,SRR17279406
231,SRR22559997
232,SRR17279418
233,SRR9091013
234,SRR15076391
235,SRR12883188
236,SRR1646740
237,SRR17279427
238,SRR24837451
239,SRR17279455
240,SRR11878625
241,SRR16925471
242,SRR17279450
243,SRR17279400
244,SRR7773423
245,SRR7124067
246,SRR12952558
247,SRR15286216
248,SRR17279421
249,SRR7900180
250,SRR8799743
251,SRR7124054
252,SRR22559999
253,SRR7900179
254,SRR17279408
255,SRR1799843
256,SRR1658406
257,SRR16925467
258,SRR9091015
259,SRR22560006
260,SRR12883190
261,SRR10417460
262,SRR17279401
263,SRR15614369
264,SRR7900196
265,SRR12978705
266,SRR22096137
267,SRR11776784
268,SRR5747431
269,SRR7900186
270,SRR13816095
271,SRR17279443
272,SRR15614367
273,SRR22559992
274,SRR1658394
275,SRR22096133
276,SRR21086590
277,SRR17279458
278,SRR22560007
279,SRR1658397
280,SRR24921163
281,SRR21424138
282,SRR22559994
283,SRR13675227
284,SRR17279413
285,SRR15343181
286,SRR17279444
287,SRR18922899
288,SRR10022435
289,SRR22559996
290,SRR17279435
291,SRR11317811
292,SRR1658399
293,SRR10022439
294,SRR16952355
